Sunshine,Humidity,RainTomorrow
0,96,1
3.4,45,0
1.7,76,0
0,82,1
0.1,85,1
6.5,74,0
6.8,44,0
8.8,57,0
9.1,46,0
3.1,64,1
11.7,38,0
12.9,9,0
3.1,81,1
10.8,54,0
9.3,40,0
9.7,36,0
9.8,63,0
13.1,21,0
10.3,28,0
8.6,44,0
11.1,62,0
11.9,25,0
1.9,71,0
11.6,23,0
7,70,0
3.1,79,1
4.8,75,0
0.7,100,0
11.3,57,1
12.1,23,0
8.3,42,0
9.5,38,0
1.7,90,1
0,75,1
2.4,58,0
0.9,64,0
10.9,39,0
5.1,73,0
0.7,62,0
8.1,39,0
9.8,36,0
7.1,58,0
11.6,34,0
10.9,33,0
7.1,55,0
5,47,0
6.9,58,0
8.2,62,1
9.8,28,0
3,64,0
7.1,56,0
11.7,42,0
10.3,62,0
7.5,56,0
7.2,64,0
10.9,29,0
10.2,41,0
7,38,0
1,67,1
12.7,33,0
3.8,64,0
4.9,61,1
10.7,34,1
8.6,46,0
5.4,83,0
11,51,0
0,90,1
11.3,59,0
12.1,21,0
6.1,35,1
5.3,59,0
11.3,20,0
9.5,49,0
12.9,65,1
10.8,55,0
1.6,86,1
8.9,64,0
3.1,56,1
13.6,39,0
10.3,53,1
8.1,65,0
10.4,56,0
12.3,37,0
10.4,36,0
11.5,31,0
7.8,48,0
2.5,42,0
11,54,0
10.7,44,0
10.8,45,0
11,45,0
4.8,27,0
6.8,55,1
6.7,35,1
12.7,25,0
8.5,44,0
8.3,29,0
2.1,66,0
7.1,44,0
8.8,22,0
10.6,52,0
11.6,37,0
7.2,65,0
1,77,1
5,63,0
13,31,0
2.4,55,0
4.7,87,0
8.6,58,0
9.2,41,0
13.2,6,0
6.3,59,1
4.7,70,0
7.8,63,0
11.3,61,0
9.8,53,1
9,45,0
5.1,67,0
4.6,26,0
10.3,41,0
10.1,33,0
10.9,39,0
11.2,31,0
2.1,78,1
10,27,0
1.6,86,1
3.4,81,1
6.3,61,0
5.6,48,0
1.2,47,0
0.9,33,0
12.5,32,0
3.7,63,0
0,76,1
9.2,54,0
11.4,41,0
4,51,0
3,57,0
11.2,27,0
8.6,30,0
7.1,12,0
11.3,10,0
9.4,37,0
0.1,77,1
9.6,28,0
0.4,75,1
6.2,47,0
10.6,53,0
6,56,1
2.3,66,1
13.4,61,0
6.9,52,0
12.7,30,0
4.5,45,0
12,32,0
12.6,30,0
9,30,0
11.3,10,0
6.5,33,0
7.6,50,1
8.5,55,0
2,79,1
7.7,64,0
8.5,50,0
7,44,0
10.4,71,0
6.2,61,0
6,67,0
6.3,67,1
11.6,23,0
8.8,48,0
13.1,45,0
3.9,89,1
9.4,67,1
8.3,40,0
6.3,59,0
9.7,53,0
9.4,69,0
11,17,0
6.6,65,0
11.2,10,0
9.8,51,0
13.5,5,0
5.8,64,1
9.3,75,1
9.7,39,0
5,43,0
10.8,40,0
11.1,42,0
9.9,54,0
8.5,74,0
10.4,53,1
9.5,56,0
4.2,58,1
9.3,29,0
5.7,53,0
11,44,0
10,48,0
11.2,43,0
1,38,1
11.4,54,0
11.2,67,0
8.3,34,0
7.7,45,1
1.1,95,1
2.9,49,0
6.8,59,0
11.1,43,0
3.4,65,1
13,12,0
4.8,31,0
8.8,56,0
10.9,28,0
5.6,71,0
4.8,31,0
11.1,40,0
5.5,24,0
8.6,47,0
1.6,54,0
6.7,69,1
2.9,77,0
9,42,0
6.6,62,0
7.3,39,0
0,66,0
13.4,33,0
0.2,78,1
10.8,58,0
4.4,47,0
10.8,36,0
2.6,65,1
10.8,63,0
5.1,63,0
12.2,25,0
8.1,53,0
8.5,50,0
0.7,65,1
10.7,32,0
9.6,25,0
11.2,26,0
9.3,27,0
5.3,17,0
1.5,57,1
3.6,60,1
4.3,52,0
5.9,14,0
13.5,25,0
1.7,39,0
7.1,63,0
1.4,71,0
3.9,51,0
7.5,44,0
12.2,13,0
12.7,24,0
11.1,39,0
6.3,72,1
9.7,35,0
8.3,51,0
7.8,78,0
8.6,33,0
6.3,73,1
9.1,29,0
5.1,69,0
8,65,1
7.7,24,0
12.1,18,0
10.2,54,0
11,6,0
10.2,30,0
4.5,54,0
11.3,40,0
13.2,14,0
1.2,72,0
12.1,23,0
8.7,38,0
3.4,78,0
11.7,23,0
10.1,49,0
7.7,48,0
5.2,50,1
11.2,12,0
7.7,47,1
8,31,0
4.8,75,0
9,59,0
11.1,7,0
0.9,80,1
5,68,0
7.8,68,0
3,82,1
8,52,0
11.4,28,0
11.6,21,0
9.2,53,0
9.8,38,0
11,59,0
12.2,58,0
3.6,54,0
10,60,0
13.2,24,0
9.1,54,0
7.4,50,0
5.2,55,1
8.1,52,0
11.1,9,0
4.9,59,0
6.2,100,0
1.4,81,1
8.9,54,0
5.2,42,0
7.7,63,0
2.4,85,1
9.5,30,0
7.8,52,0
13.3,8,0
3,82,1
5.5,43,0
8.8,81,1
10.4,29,0
1.4,74,0
5.9,79,1
3.1,61,0
10.5,54,0
10.7,53,0
8.8,45,0
1.7,93,1
5.7,67,0
9.1,47,0
7,61,1
6.8,57,1
0,40,0
8.9,41,0
8.7,48,0
